datetime,station_antwerp,station_paris,station_london
2019-05-03 20:00:00,,59.6,35.0
2019-05-03 21:00:00,,37.2,31.0
2019-05-03 22:00:00,,24.6,29.0
2019-05-03 23:00:00,,31.8,29.0
2019-05-04 00:00:00,,43.2,29.0
2019-05-04 01:00:00,,31.3,24.0
2019-05-04 02:00:00,,29.7,24.0
2019-05-04 03:00:00,8.5,22.2,21.0
2019-05-04 04:00:00,9.5,22.3,21.0
2019-05-04 05:00:00,,19.5,19.0
2019-05-04 06:00:00,,20.0,19.0
2019-05-04 07:00:00,,21.9,20.0
2019-05-04 08:00:00,,18.5,19.0
2019-05-04 09:00:00,,20.8,18.0
2019-05-04 10:00:00,,22.5,18.0
2019-05-04 11:00:00,,26.1,18.0
2019-05-04 12:00:00,,25.8,17.0
2019-05-04 13:00:00,,24.4,18.0
2019-05-04 14:00:00,,21.0,18.0
2019-05-04 15:00:00,,16.5,17.0
2019-05-04 16:00:00,,17.1,18.0
2019-05-04 17:00:00,,17.7,19.0
2019-05-04 18:00:00,,13.2,21.0
2019-05-04 19:00:00,,18.2,21.0
2019-05-04 20:00:00,,16.7,26.0
2019-05-04 21:00:00,,26.8,28.0
2019-05-04 22:00:00,,33.1,29.0
2019-05-04 23:00:00,,27.1,28.0
2019-05-05 00:00:00,,23.9,28.0
2019-05-05 01:00:00,,25.8,23.0
2019-05-05 02:00:00,,24.3,23.0
2019-05-05 03:00:00,18.0,25.7,20.0
